Id,Name,Latitude,Longitude
ac-hotel-by-marriott-new-orleans-french-quarter,AC Hotel by Marriott New Orleans French Quarter,29.9524386,-90.0713632
aloft-new-orleans-downtown,Aloft New Orleans Downtown,29.9527569,-90.072581
andrew-jackson-hotel,Andrew Jackson Hotel,29.9601382,-90.0630869
antebellum-guest-house,Antebellum Guest House,29.9681781,-90.0662749
audubon-cottages,Audubon Cottages,29.9581821,-90.0677975
avenue-plaza-resort,Avenue Plaza Resort,29.934862,-90.080133
balcony-on-bourbon,Balcony on Bourbon,29.9561347,-90.0682136
best-western-plus-french-quarter-courtyard-hotel,Best Western Plus French Quarter Courtyard Hotel,29.9623016,-90.0661772
best-western-plus-st-christopher-hotel,Best Western Plus St. Christopher Hotel,29.9512376,-90.067222
bienville-house,Bienville House,29.9539056,-90.0651259
bluegreen-club-la-pension,Bluegreen Club La Pension,29.9523689,-90.0669206
bon-maison-guest-house,Bon Maison Guest House,29.9601584,-90.0644519
bourbon-orleans-hotel,Bourbon Orleans Hotel,29.9587,-90.0647
cambria-hotel-new-orleans-downtown-warehouse-district,Cambria Hotel New Orleans Downtown Warehouse District,29.9468323,-90.0672082
casa-n-orleans,Casa N Orléans,29.9492314,-90.1051252
chateau-hotel,Chateau Hotel,29.9600135,-90.0616725
chateau-orleans-resort,Chateau Orleans Resort,29.9564125,-90.0702641
comfort-inn-and-suites-new-orleans-airport-north,Comfort Inn & Suites New Orleans Airport North,30.0063829,-90.2476816
comfort-inn-new-orleans-airport-south,Comfort Inn New Orleans Airport South,29.9769303,-90.285585
comfort-suites-new-orleans-airport,Comfort Suites New Orleans Airport,30.0055052,-90.2378074
comfort-suites-new-orleans-east,Comfort Suites New Orleans East,30.0487479,-89.9626325
country-inn-and-suites-new-orleans-i-10-east,Country Inn & Suites New Orleans I-10 East,30.0354514,-89.9733839
courtyard-new-orleans-downtown-near-the-french-quarter,Courtyard New Orleans Downtown Near the French Quarter,29.952314,-90.0694347
crowne-plaza-hotel-new-orleans-airport,Crowne Plaza Hotel New Orleans Airport,30.0080071,-90.2415874
crowne-plaza-new-orleans-french-quarter,Crowne Plaza New Orleans French Quarter,29.9540618,-90.0692875
dauphine-orleans-hotel,Dauphine Orleans Hotel,29.9573801,-90.0685108
days-inn-by-wyndham-new-orleans,Days Inn by Wyndham New Orleans,30.037125,-89.9740439
days-inn-by-wyndham-new-orleans-pontchartrain,Days Inn by Wyndham New Orleans Pontchartrain,30.0021345,-90.0397633
degas-house,Degas House,29.9735423,-90.0752221
dew-drop-inn,Dew Drop Inn,29.93691667,-90.09163889
domio,Domio,29.9451677,-90.0743379
doubletree-by-hilton-hotel-new-orleans,Doubletree by Hilton Hotel New Orleans,29.9502895,-90.0662582
doubletree-by-hilton-hotel-new-orleans-airport,Doubletree by Hilton Hotel New Orleans Airport,30.0071565,-90.2389448
drury-plaza-hotel-new-orleans,Drury Plaza Hotel New Orleans,29.9495298,-90.0724313
element-new-orleans-downtown,Element New Orleans Downtown,29.9534177,-90.073807
embassy-suites-new-orleans-convention-center,Embassy Suites New Orleans - Convention Center,29.9450849,-90.066261
empress-hotel,Empress Hotel,29.9655271,-90.0675162
extended-stay-america-new-orleans-kenner,Extended Stay America - New Orleans - Kenner,30.0077027,-90.2358684
fairfield-inn-and-suites-new-orleans-downtown-french-quarter-area,Fairfield Inn & Suites New Orleans Downtown/French Quarter Area,29.951175,-90.0725101
federal-city-inn-and-suites,Federal City Inn & Suites,29.9475702,-90.0327396
four-points-by-sheraton-french-quarter,Four Points By Sheraton French Quarter,29.9577796,-90.0667888
four-seasons-hotel-and-private-residences-new-orleans,Four Seasons Hotel and Private Residences New Orleans,29.948976,-90.063355
french-quarter-suites-hotel,French Quarter Suites Hotel,29.964278,-90.0654713
gentry-house,Gentry House,29.961213,-90.0671296
grenoble-house,Grenoble House,29.9566292,-90.0691527
hampton-inn,Hampton Inn,29.9269077,-90.0939044
hampton-inn-and-suites-new-orleans-convention-center,Hampton Inn & Suites New Orleans Convention Center,29.9397234,-90.0650296
hampton-inn-and-suites-new-orleans-downtown-french-quarter-area,Hampton Inn & Suites New Orleans Downtown (French Quarter Area),29.9520919,-90.0708773
hampton-inn-new-orleans-french-quarter-market-area,Hampton Inn New Orleans French Quarter Market Area,29.9628849,-90.0556625
harrahs-new-orleans-hotel-and-casino,Harrah's New Orleans Hotel & Casino,29.9479529,-90.0656412
hilton-garden-inn-new-orleans-convention-center,Hilton Garden Inn New Orleans Convention Center,29.9413246,-90.0661737
hilton-garden-inn-new-orleans-french-quarter-cbd,Hilton Garden Inn New Orleans French Quarter/CBD,29.9524734,-90.0717834
hilton-new-orleans-airport,Hilton New Orleans Airport,29.9812918,-90.2578907
hilton-new-orleans-riverside,Hilton New Orleans Riverside,29.947902,-90.063697
hilton-new-orleans-st-charles-avenue,Hilton New Orleans/St. Charles Avenue,29.9507253,-90.0706459
holiday-inn-club-vacations-new-orleans-resort,Holiday Inn Club Vacations New Orleans Resort,29.9526562,-90.0712702
holiday-inn-express-and-suites-new-orleans-airport-south,Holiday Inn Express & Suites New Orleans Airport South,29.9793255,-90.2824312
holiday-inn-express-new-orleans-st-charles,Holiday Inn Express New Orleans - St Charles,29.9437473,-90.0718786
holiday-inn-express-new-orleans-downtown-fr-qtr-area,Holiday Inn Express New Orleans Downtown - Fr Qtr Area,29.9517618,-90.073663
holiday-inn-express-new-orleans-east,Holiday Inn Express New Orleans East,30.0486186,-89.9618125
holiday-inn-french-quarter-chateau-lemoyne,Holiday Inn French Quarter-Chateau LeMoyne,29.9564874,-90.069443
holiday-inn-new-orleans-airport-north,Holiday Inn New Orleans Airport North,30.0078352,-90.2505034
holiday-inn-new-orleans-downtown-superdome,Holiday Inn New Orleans-Downtown Superdome,29.9528232,-90.0749071
home2-suites-new-orleans-airport,Home2 Suites New Orleans Airport,30.0071019,-90.2536192
homewood-suites-new-orleans,Homewood Suites New Orleans,29.9507217,-90.0731358
hotel-de-leau-vive,Hotel de L'Eau Vive,29.9496971,-90.0668374
hotel-de-la-poste-french-quarter,Hotel de la Poste - French Quarter,29.9545023,-90.0662289
hotel-henrietta,Hotel Henrietta,29.9273691,-90.0928347
hotel-indigo-new-orleans-french-quarter,Hotel Indigo New Orleans - French Quarter,29.9524548,-90.0699787
hotel-indigo-new-orleans-garden-district,Hotel Indigo New Orleans Garden District,29.9342876,-90.081078
hotel-le-marais,Hotel Le Marais,29.9561659,-90.067112
hotel-maison-de-ville,Hotel Maison De Ville,29.9576,-90.066
hotel-mazarin,Hotel Mazarin,29.9548992,-90.0682479
hotel-monteleone,Hotel Monteleone,29.9542,-90.0677
hotel-peter-and-paul,Hotel Peter & Paul,29.9667696,-90.0550661
hotel-provincial,Hotel Provincial,29.9601306,-90.0610638
hotel-royal,Hotel Royal,29.9604327,-90.0622506
hotel-sainte-helene,Hotel Sainte Hélène,29.9559928,-90.0649988
hotel-st-marie,Hotel St. Marie,29.9583853,-90.0669095
hotel-st-pierre,Hotel St. Pierre,29.9617841,-90.0658821
hotel-theo-new-orleans,Hotel Theo New Orleans,29.9510301,-90.0685627
hotel-villa-convento,Hotel Villa Convento,29.9606864,-90.061418
hotel-vinache,Hotel Vinache,29.9562826,-90.0744408
hyatt-centric-french-quarter-new-orleans-hotel,Hyatt Centric French Quarter New Orleans Hotel,29.9551,-90.07
hyatt-house-new-orleans-downtown,Hyatt House New Orleans/Downtown,29.9505449,-90.0769179
hyatt-place-new-orleans-convention-center,Hyatt Place New Orleans/Convention Center,29.9424923,-90.0649233
hyatt-regency-new-orleans,Hyatt Regency New Orleans,29.9495,-90.0764
inn-on-st-ann,Inn on St Ann,29.9609936,-90.0668093
inn-on-st-peter,Inn on St. Peter,29.960027,-90.0675236
inn-on-ursulines,Inn on Ursulines,29.9613467,-90.0622249
intercontinental-new-orleans,InterContinental New Orleans,29.9503375,-90.0697134
international-house-hotel,International House Hotel,29.951233,-90.069008
jean-lafitte-house,Jean Lafitte House,29.963138,-90.0592366
jw-marriott-hotel-new-orleans,JW Marriott Hotel New Orleans,29.9523081,-90.0689874
kimpton-hotel-fontenot,Kimpton Hotel Fontenot,29.9485449,-90.0673575
la-galerie-hotel,La Galerie Hotel,29.9527396,-90.0666418
la-quinta-inn-and-suites-new-orleans-airport,La Quinta Inn & Suites New Orleans Airport,30.0041986,-90.2400823
la-quinta-inn-and-suites-new-orleans-downtown,La Quinta Inn & Suites New Orleans Downtown,29.9508791,-90.0694429
lafayette-hotel,Lafayette Hotel,29.9475901,-90.0710031
lafitte-guest-house,Lafitte Guest House,29.961263,-90.0635526
lamothe-house,Lamothe House,29.9639119,-90.0587787
le-meridien-new-orleans,Le Méridien New Orleans,29.9489835,-90.0664261
le-pavillon-hotel,Le Pavillon Hotel,29.9506063,-90.0727467
le-richelieu-in-the-french-quarter,Le Richelieu in the French Quarter,29.9618394,-90.059465
lions-inn-bed-and-breakfast-new-orleans,Lions Inn Bed and Breakfast New Orleans,29.9640177,-90.0525335
loews-new-orleans-hotel,Loews New Orleans Hotel,29.9479695,-90.0662019
loft-523,Loft 523,29.95102778,-90.06827778
london-lodge,London Lodge,29.97234,-90.1221225
maison-dupuy,Maison Dupuy,29.9595013,-90.0682507
maison-metier,Maison Métier,29.9487003,-90.0718772
melrose-mansion,Melrose Mansion,29.9653716,-90.0622978
monte-carlo-motel,Monte Carlo Motel,30.0108546,-90.0182525
moxy-new-orleans-downtown-french-quarter-area,Moxy New Orleans Downtown/French Quarter Area,29.9535269,-90.0731522
new-orleans-courtyard-hotel,New Orleans Courtyard Hotel,29.9641597,-90.0657283
new-orleans-guest-house,New Orleans Guest House,29.9639926,-90.0661214
new-orleans-inn,New Orleans Inn,30.0077362,-90.031536
new-orleans-marriott,New Orleans Marriott,29.952871,-90.0673479
new-orleans-marriott-warehouse-arts-district,New Orleans Marriott Warehouse Arts District,29.9437051,-90.0649491
nine-o-five-royal-hotel,Nine-O-Five Royal Hotel,29.9599104,-90.0632457
nobu-hotel-new-orleans,Nobu Hotel New Orleans,29.949775,-90.0654498
nopsi-hotel-new-orleans,NOPSI Hotel New Orleans,29.9521063,-90.0729835
old-no-77-hotel-and-chandlery,Old No. 77 Hotel and Chandlery,29.9480178,-90.06748
olde-town-inn,Olde Town Inn,29.967743,-90.0552946
olivier-house,Olivier House,29.9581378,-90.0671318
omni-royal-orleans,Omni Royal Orleans,29.9563,-90.0656
one11-hotel,One11 Hotel,29.9519553,-90.0647984
place-darmes-hotel,Place d'Armes Hotel,29.9586927,-90.0634222
prince-conti-hotel,Prince Conti Hotel,29.9565222,-90.0685799
prytania-oaks-hotel,Prytania Oaks Hotel,29.9370884,-90.0747153
q-and-c-hotelbar-new-orleans,Q&C HotelBar New Orleans,29.9500234,-90.0688665
quality-inn-new-orleans-east,Quality Inn New Orleans East,30.0367589,-89.9733586
quarter-house,Quarter House,29.953357,-90.0676539
rathbone-mansions,Rathbone Mansions,29.9671046,-90.0657399
red-carpet-inn-and-suites,Red Carpet Inn & Suites,30.0091916,-90.0177867
renaissance-new-orleans-arts-warehouse-district-hotel,Renaissance New Orleans Arts Warehouse District Hotel,29.9459864,-90.0670171
renaissance-new-orleans-pere-marquette-french-quarter-area-hotel,Renaissance New Orleans Pere Marquette French Quarter Area Hotel,29.9533227,-90.0718053
residence-inn-new-orleans-downtown,Residence Inn New Orleans Downtown,29.9508748,-90.0699867
rodeway-inn-and-suites,Rodeway Inn & Suites,30.006196,-90.0320294
rodeway-inn-chef-menteur-highway,Rodeway Inn Chef Menteur Highway,30.0315581,-89.9239381
rose-inn-motel,Rose Inn Motel,29.9658271,-90.1003192
rose-manor-inn,Rose Manor Inn,30.0205727,-90.1149116
royal-frenchmen-hotel-and-bar,Royal Frenchmen Hotel & Bar,29.9645198,-90.0579108
royal-inn-of-new-orleans,Royal Inn Of New Orleans,30.0062004,-90.0316522
royal-sonesta-new-orleans,Royal Sonesta New Orleans,29.9556,-90.0680
runway-inn-and-suites-airport,Runway Inn & Suites Airport,30.0138026,-90.2421378
saint-vincent-guest-house,Saint Vincent Guest House,29.9342332,-90.0728306
selina-catahoula-new-orleans,Selina Catahoula New Orleans,29.951767,-90.0731138
sheraton-new-orleans-hotel,Sheraton New Orleans Hotel,29.9517921,-90.0680009
siegel-select-new-orleans,Siegel Select New Orleans,30.0488982,-89.9540223
sonesta-es-suites-new-orleans-convention-center,Sonesta ES Suites New Orleans Convention Center,29.9440289,-90.068175
sonesta-es-suites-new-orleans-downtown,Sonesta ES Suites New Orleans Downtown,29.9541401,-90.0747817
soniat-house,Soniat House,29.9613448,-90.0605088
springhill-suites-new-orleans-downtown-canal-street,SpringHill Suites New Orleans Downtown/Canal Street,29.9582388,-90.0773373
st-james-hotel,St. James Hotel,29.9497107,-90.0677304
sweets-inn-motel,Sweet's Inn Motel,29.9661593,-90.1009761
the-barnett,The Barnett,29.948321,-90.0719483
the-blake-hotel-new-orleans,The Blake Hotel New Orleans,29.9490223,-90.0700205
the-brakeman-hotel,The Brakeman Hotel,29.9597177,-90.0707937
the-chloe,The Chloe,29.9270972,-90.0993056
the-columns-hotel,The Columns Hotel,29.9274365,-90.096152
the-eliza-jane,The Eliza Jane,29.9503976,-90.0677353
the-french-market-inn,The French Market Inn,29.9554237,-90.0641455
the-frenchmen-hotel,The Frenchmen Hotel,29.9622606,-90.0574099
the-higgins-hotel-new-orleans,The Higgins Hotel New Orleans,29.9422727,-90.0696348
the-jung-hotel-and-residences,The Jung Hotel & Residences,29.9572539,-90.0756604
the-mercantile-hotel,The Mercantile Hotel,29.9455618,-90.0659729
the-natchez-vacation-rentals,The Natchez Vacation Rentals,29.9496873,-90.0686987
the-pelham-hotel-new-orleans,The Pelham Hotel New Orleans,29.9509029,-90.0672564
the-pontchartrain-hotel,The Pontchartrain Hotel,29.9350938,-90.0797142
the-queen-anne-hotel,The Queen Anne Hotel,29.9371974,-90.0752705
the-ritz-carlton-new-orleans,The Ritz-Carlton New Orleans,29.9549681,-90.0707509
the-roosevelt-new-orleans,The Roosevelt New Orleans,29.9539,-90.0716
the-saint-hotel,The Saint Hotel,29.9552096,-90.0712562
the-troubadour-hotel-new-orleans,The Troubadour Hotel New Orleans,29.9533876,-90.0744305
the-westin-new-orleans,The Westin New Orleans,29.9514008,-90.0648513
the-whitney-hotel-new-orleans,The Whitney Hotel New Orleans,29.9491112,-90.0697668
towneplace-suites-new-orleans-metairie,TownePlace Suites New Orleans Metairie,29.9644482,-90.1910381
virgin-hotels-new-orleans,Virgin Hotels New Orleans,29.9494229,-90.0731755
windsor-court-hotel,Windsor Court Hotel,29.9494787,-90.0663659
woodspring-suites-new-orleans-airport,WoodSpring Suites New Orleans Airport,30.0080227,-90.2368943
wyndham-garden-baronne-plaza-new-orleans,Wyndham Garden Baronne Plaza New Orleans,29.9532633,-90.0725916
wyndham-garden-new-orleans-airport,Wyndham Garden New Orleans Airport,30.0059989,-90.211865
wyndham-garden-new-orleans-east,Wyndham Garden New Orleans East,30.0382348,-89.9721297
wyndham-la-belle-maison,Wyndham La Belle Maison,29.9509259,-90.0678427
wyndham-new-orleans-french-quarter,Wyndham New Orleans French Quarter,29.9536365,-90.0683446
